file,inspection,system_area,related_plan_entries,bytes,lines,sha256
.editorconfig,binary bytes/header/hash checked; not visually or aurally reviewed,configuration/tooling,"T11, T25, Q04–Q07",348,0,46bbc7814c73b36faa6cc6791f27a13a7d0aafa6d69957e3cc5e7ce1af929f1f
.env.example,automated full-file text/structure scan; manual per-file review not asserted,configuration/tooling,"T11, T25, Q04–Q07",583,17,d6d83e8603aa09c78688a51f8b624a248639f937bdbd9f7845367d243e8d2f7e
.gdlintrc,binary bytes/header/hash checked; not visually or aurally reviewed,configuration/tooling,"T11, T25, Q04–Q07",131,0,29270b23a2c038f50215cd8783c9c3ac2a034d29f440724e970a0b8f705ff757
.gitattributes,binary bytes/header/hash checked; not visually or aurally reviewed,configuration/tooling,"T11, T25, Q04–Q07",68,0,2414eb52a901475c857d84427e88510145589af173774639f1038eef8df2ea8d
.github/CODEOWNERS,binary bytes/header/hash checked; not visually or aurally reviewed,configuration/tooling,"T11, T25, Q04–Q07",54,0,4b716fee191f602f7cae93c6756b882c7d7fdf2c09afbe5e19f34aa9b974c520
.github/PULL_REQUEST_TEMPLATE.md,excluded: existing document,excluded,Coverage exclusions — no conclusion based on contents,0,0,
.gitignore,binary bytes/header/hash checked; not visually or aurally reviewed,configuration/tooling,"T11, T25, Q04–Q07",5877,0,ef8ab8bdc5a27abc7a700ae9a4c58d12073061d172c62109341c4ba606d58ce0
.mcp.json,excluded: potentially private configuration,excluded,Coverage exclusions — no conclusion based on contents,114,0,
.nvmrc,binary bytes/header/hash checked; not visually or aurally reviewed,configuration/tooling,"T11, T25, Q04–Q07",3,0,68ca3fba3b7e864770cb61aeb306d4bd4354b68ab4dd38450860c5d823e42a53
.pre-commit-config.yaml,automated full-file text/structure scan; manual per-file review not asserted,configuration/tooling,"T11, T25, Q04–Q07",1574,51,645b8f65466101bcb97df3a0ef4816374f92d53bb45a4c71f3432d20ff056d16
CLAUDE.md,excluded: existing document,excluded,Coverage exclusions — no conclusion based on contents,0,0,
CONTRIBUTING.md,excluded: existing document,excluded,Coverage exclusions — no conclusion based on contents,0,0,
Directory.Build.props,automated full-file text/structure scan; manual per-file review not asserted,configuration/tooling,"T11, T25, Q04–Q07",239,10,dad9162e15ac4758d843bd91fb1721a74da127304f2bcf2a438a33c2e6b98b75
Directory.Packages.props,automated full-file text/structure scan; manual per-file review not asserted,configuration/tooling,"T11, T25, Q04–Q07",2349,37,be1db9ed03af4a28588d6b4671a9d85b733f6958de3b2ddc22a9d4f56448d690
LICENSE,automated full-file text/structure scan; manual per-file review not asserted,configuration/tooling,"T11, T25, Q04–Q07",1073,21,2e8d95502d4982b0781600e38de755321efcc6a6001a6a1d9784b60e3ced9967
README.md,excluded: existing document,excluded,Coverage exclusions — no conclusion based on contents,0,0,
SECURITY.md,excluded: existing document,excluded,Coverage exclusions — no conclusion based on contents,0,0,
apps/game/client/.godot-version,binary bytes/header/hash checked; not visually or aurally reviewed,configuration/tooling,"T11, T25, Q04–Q07",5,0,83ddafc3f5fcaf365bb22ce43d621958a76ea3116a00594abf36142e7c240cd6
apps/game/client/addons/godot_mcp/i18n/lang_de.gd,excluded: third-party editor addon,excluded,Coverage exclusions — no conclusion based on contents,8360,0,
apps/game/client/addons/godot_mcp/i18n/lang_de.gd.uid,excluded: third-party editor addon,excluded,Coverage exclusions — no conclusion based on contents,20,0,
apps/game/client/addons/godot_mcp/i18n/lang_en.gd,excluded: third-party editor addon,excluded,Coverage exclusions — no conclusion based on contents,7627,0,
apps/game/client/addons/godot_mcp/i18n/lang_en.gd.uid,excluded: third-party editor addon,excluded,Coverage exclusions — no conclusion based on contents,20,0,
apps/game/client/addons/godot_mcp/i18n/lang_es.gd,excluded: third-party editor addon,excluded,Coverage exclusions — no conclusion based on contents,8487,0,
apps/game/client/addons/godot_mcp/i18n/lang_es.gd.uid,excluded: third-party editor addon,excluded,Coverage exclusions — no conclusion based on contents,20,0,
apps/game/client/addons/godot_mcp/i18n/lang_fr.gd,excluded: third-party editor addon,excluded,Coverage exclusions — no conclusion based on contents,8726,0,
apps/game/client/addons/godot_mcp/i18n/lang_fr.gd.uid,excluded: third-party editor addon,excluded,Coverage exclusions — no conclusion based on contents,20,0,
apps/game/client/addons/godot_mcp/i18n/lang_ja.gd,excluded: third-party editor addon,excluded,Coverage exclusions — no conclusion based on contents,9056,0,
apps/game/client/addons/godot_mcp/i18n/lang_ja.gd.uid,excluded: third-party editor addon,excluded,Coverage exclusions — no conclusion based on contents,20,0,
apps/game/client/addons/godot_mcp/i18n/lang_pt.gd,excluded: third-party editor addon,excluded,Coverage exclusions — no conclusion based on contents,8384,0,
apps/game/client/addons/godot_mcp/i18n/lang_pt.gd.uid,excluded: third-party editor addon,excluded,Coverage exclusions — no conclusion based on contents,20,0,
apps/game/client/addons/godot_mcp/i18n/lang_ru.gd,excluded: third-party editor addon,excluded,Coverage exclusions — no conclusion based on contents,11877,0,
