keys,en,ro
MAP_TITLE,Map,Hartă
MAP_HINT,Scroll to zoom · Middle-drag to pan · Esc to close,Rotiți pentru zoom · Trageți cu mijlocul pentru panoramare · Esc pentru închidere
MAP_LEGEND_COMBAT,Combat,Luptă
MAP_LEGEND_TREASURE,Treasure,Comoară
MAP_LEGEND_SHOP,Shop,Magazin
MAP_LEGEND_KEY,Key,Cheie
MAP_LEGEND_BOSS,Boss,Șef
MAP_LEGEND_ENTRANCE,Entrance,Intrare
MAP_LEGEND_STAIRS,Stairs,Scări
UI_PAUSE,Paused,Pauză
UI_RESUME,Resume,Continuă
STORY_PREMISE,The Umbral Tower binds fallen wardens as echoes until the oath is fulfilled.,Turnul Umbral leagă gardienii căzuți ca ecouri până când jurământul este împlinit.
talent.branch.arms,Arms,Arme
talent.branch.guard,Guard,Apărare
talent.branch.aptitude,Aptitude,Aptitudine
talent.arms_1,Keen Edge,Tăiș ascuțit
talent.arms_2,Sharpened Steel,Oțel ascuțit
talent.arms_3,Efficient Strikes,Lovituri eficiente
talent.arms_4,Deadly Precision,Precizie mortală
talent.arms_5,Breaker,Distrugător
talent.arms_6,Ruinous Blow,Lovitură ruină
talent.guard_1,Hardy,Rezistent
talent.guard_2,Iron Skin,Piele de fier
talent.guard_3,Shield Mastery,Măiestrie scut
talent.guard_4,Unshakable,De neclintit
talent.guard_5,Defiant,Rebel
talent.guard_6,Bulwark,Zid
talent.apt_1,Second Wind,Al doilea suflu
talent.apt_2,Swift Feet,Picioare iuți
talent.apt_3,Treasure Sense,Simț al comorii
talent.apt_4,Quick Study,Învățare rapidă
talent.apt_5,Midas Touch,Atingerea lui Midas
talent.apt_6,Flow State,Stare de flux
HUD_PARRY,PARRY,PARARE
HUD_LEVEL,Lv %d,Nv %d
HUD_BRANCH_AHEAD,Branch ahead — %s,Ramură în față — %s
HUD_BRANCH_REWARD,%d reward path(s),%d cale(i) recompensă
HUD_BRANCH_DANGER,%d danger path(s),%d cale(i) pericol
HUD_BOSS_FALLBACK,Boss,Șef
UI_CONFIRM,Confirm,Confirmă
UI_CANCEL,Cancel,Anulează
PAUSE_TITLE,Paused,Pauză
PAUSE_RESUME,Resume,Continuă
PAUSE_SETTINGS,Settings,Setări
PAUSE_ACHIEVEMENTS,Achievements,Realizări
PAUSE_ABANDON,Abandon run,Abandonează alergarea
PAUSE_LEAVE_WAVES,Leave waves,Părăsește valurile
PAUSE_RESTART_FLOOR,Restart floor,Repornește etajul
PAUSE_QUIT,Quit to menu,Ieși în meniu
PAUSE_HINT_RESUME,to resume,ca să continui
PAUSE_INFO_SECTION,Run info,Info alergare
PAUSE_INFO_MODE,Mode,Mod
PAUSE_INFO_FLOOR,Floor,Etaj
PAUSE_INFO_TIME,Time,Timp
PAUSE_INFO_SEED,Seed,Sămânță
PAUSE_INFO_OBJECTIVE,Objective,Obiectiv
PAUSE_MODE_HUB,Hub,Turn
PAUSE_MODE_CASTLE,Castle Run,Alergare castel
PAUSE_MODE_WAVES,Umbral Waves,Valuri umbrale
PAUSE_MODE_ENDLESS,Umbral Endless,Infinit umbral
PAUSE_FLOOR_FMT,Floor %d of %d,Etaj %d din %d
PAUSE_WAVE_FMT,Wave %d,Val %d
PAUSE_OBJECTIVE_HUB,Explore the tower,Explorează turnul
PAUSE_OBJECTIVE_WAVES,Survive wave %d,Supraviețuiește valului %d
PAUSE_OBJECTIVE_STAIRS,Reach the stairs,Ajungi la scări
PAUSE_OBJECTIVE_BOSS,Defeat the boss,Învinge șeful
PAUSE_OBJECTIVE_EXPLORE,Explore the floor,Explorează etajul
PAUSE_CONFIRM_ABANDON_TITLE,Abandon Run,Abandonează alergarea
PAUSE_CONFIRM_ABANDON_BODY,Abandon floor %d? %d items and %d gold from this run are lost.,Abandonezi etajul %d? %d obiecte și %d aur din această alergare se pierd.
PAUSE_CONFIRM_ABANDON_OK,Abandon,Abandonează
PAUSE_CONFIRM_ABANDON_CANCEL,Keep Playing,Continuă să joci
PAUSE_CONFIRM_QUIT_TITLE,Quit to Menu,Ieși în meniu
PAUSE_CONFIRM_QUIT_BODY,Save progress and return to the main menu? You can continue this run later from the hub.,Salvezi progresul și revii la meniul principal? Poți continua alergarea mai târziu din turn.
